run_id,model_name,saved_at,metricsTracker,mixedPrecision,gpuIDs,dataset_dir,augFlag,scale,batch_size,subBlocks,fine_size,epoch,itersPerEpoch,iterCyclesPerEpoch,valNum,valTest,ngsrf,numResBlocks,ganFlag,ndsrf,srAdv_lambda,disc_size,lr,epoch_step,phase,save_freq,print_freq,continue_train,continueEpoch,checkpoint_dir,modelName,test_dir,test_temp_save_dir,test_save_dir
Wang_2023_260712_2002,Wang_2023,2026-07-12T20:02:13.515665,True,False,2,data/processed/Wang_2023/training/,False,4,64,4,64,500,300,3,10,False,64,16,False,64,0.01,64,0.0001,50,train,10,10,False,0,./checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/
Wang_2023_260712_2007,Wang_2023,2026-07-12T20:07:40.999830,True,False,2,data/processed/Wang_2023/training/,False,4,64,4,48,500,300,3,10,False,64,16,False,64,0.01,64,0.0001,50,train,10,10,False,0,./checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/
Wang_2023_260712_2129,Wang_2023,2026-07-12T21:29:51.200650,True,False,2,data/processed/Wang_2023/training/,False,4,64,4,48,500,300,3,10,False,64,16,False,64,0.01,64,0.0001,50,train,10,10,False,0,./checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/
Wang_2023_260712_2323,Wang_2023,2026-07-12T23:23:31.349095,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/training/,False,4,16,4,48,500,300,3,5,False,64,16,False,64,0.01,64,0.0001,50,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/validation/
Wang_2023_260713_1536,Wang_2023,2026-07-13T15:36:21.235121,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/training/,False,4,16,4,48,1,1,1,1,False,64,16,False,64,0.01,64,0.0001,50,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/validation/
Wang_2023_260713_1542,Wang_2023,2026-07-13T15:42:23.431694,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/training/,False,4,16,4,48,1,1,1,1,False,64,16,False,64,0.01,64,0.0001,50,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/validation/
Wang_2023_260713_1607,Wang_2023,2026-07-13T16:07:52.457603,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/training/,False,4,16,4,48,50,100,3,20,False,64,16,False,64,0.01,64,0.0001,150,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/validation/
Wang_2023_260713_1717,Wang_2023,2026-07-13T17:17:18.534544,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/training/,False,4,16,4,48,500,300,3,20,False,64,16,False,64,0.01,64,0.0001,150,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/validation/
Wang_2023_260713_1721,Wang_2023,2026-07-13T17:21:12.475394,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/training/,False,4,16,4,48,500,300,3,20,False,64,16,False,64,0.01,64,0.0001,150,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/validation/
Wang_2023_260714_1039,Wang_2023,2026-07-14T10:39:34.593303,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/training/,False,4,16,4,48,500,300,3,225,False,64,16,False,64,0.01,64,0.0001,150,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/validation/
Wang_2023_260715_1833,Wang_2023,2026-07-15T18:33:00.219017,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/training/,True,4,64,4,48,500,300,3,225,False,64,16,False,64,0.01,64,0.0001,150,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/validation/
Wang_2023_260715_1839,Wang_2023,2026-07-15T18:39:30.474099,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/training/,True,4,16,4,48,500,300,3,225,False,64,16,False,64,0.01,64,0.0001,150,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/validation/
Wang_2023_260715_2009,Wang_2023,2026-07-15T20:09:45.481765,True,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/training/,True,4,32,4,48,500,300,3,225,False,64,16,False,64,0.01,64,0.0001,150,train,10,10,False,0,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/checkpoints,Wang_2023,/media/user/SSD2/testLR/,/media/user/SSD2/,/media/user/SSD2/,/mimer/NOBACKUP/groups/kthmech/nvlmds/super-resolution/data/processed/Wang_2023/validation/
